"transaction_id";"account_id";"transaction_type";"transaction_date";"amount";"fraudulent"
1;11;"cartão de crédito";"1992-01-19";-528.45;1
2;14;"cartão de crédito";"1920-10-15";-52.29;0
3;2;"PIX";"1992-11-23";-152.99;0
4;15;"cartão de crédito";"1991-09-16";-81.02;0
5;8;"cartão de débito";"1961-11-15";-572.73;0
6;9;"cartão de débito";"1987-01-17";-162.29;0
7;8;"PIX";"1969-07-31";544.05;0
8;9;"cartão de crédito";"1983-11-30";-233.45;0
9;15;"cartão de crédito";"1986-01-26";-37.88;0
10;2;"PIX";"1991-01-30";-390.3;1
11;16;"PIX";"1921-02-26";-7.69;0
12;10;"PIX";"1925-08-17";-236.06;0
13;6;"PIX";"2001-07-27";-23.84;0
14;8;"cartão de débito";"1969-12-15";-213.82;0
15;6;"PIX";"2009-10-05";-432.12;1
16;10;"PIX";"1921-01-27";-609.72;0
17;16;"cartão de crédito";"1925-04-12";-176.64;0
18;6;"PIX";"2006-06-15";-155.68;0
19;12;"cartão de crédito";"1927-05-24";-67.67;0
20;11;"PIX";"1991-05-09";-186.41;0
21;15;"PIX";"1992-06-12";-75.26;0
22;13;"PIX";"1988-09-11";-18.02;0
23;5;"cartão de crédito";"1999-11-17";248.38;0
24;7;"PIX";"1962-08-29";-182.12;0
25;9;"PIX";"1984-02-29";-26.91;0
26;11;"PIX";"1995-07-13";487.52;0
27;6;"PIX";"2007-01-17";-253.56;0
28;5;"PIX";"2008-05-10";229.36;0
29;16;"cartão de crédito";"1930-05-01";211.35;0
30;7;"PIX";"1962-12-14";444.53;0
31;15;"cartão de crédito";"1986-08-25";-91.2;0
32;12;"cartão de crédito";"1926-01-21";-280.45;0
33;15;"cartão de débito";"1989-06-27";-10.69;0
34;16;"cartão de crédito";"1923-03-25";-260.74;0
35;5;"PIX";"1999-12-10";-76.29;0
36;2;"PIX";"1989-04-21";-341.08;1
37;17;"cartão de crédito";"1995-09-30";-68.53;0
38;17;"PIX";"1993-10-18";-45.6;0
39;12;"PIX";"1926-03-06";-145.0;0
40;17;"cartão de crédito";"1993-06-17";-140.38;0
41;11;"cartão de crédito";"1994-09-27";-457.29;1
42;2;"PIX";"1991-12-06";342.76;0
43;7;"cartão de crédito";"1958-10-16";-79.39;0
44;9;"cartão de crédito";"1990-04-22";48153.0;0
45;10;"PIX";"1927-01-03";-461.15;0
46;10;"PIX";"1923-04-24";251.01;0
47;1;"cartão de crédito";"1987-12-13";251.94;0
48;6;"PIX";"2003-12-21";371.34;0
49;5;"PIX";"2005-07-30";-78.77;0
50;6;"PIX";"2009-06-28";-423.18;1
51;13;"PIX";"1987-03-10";727.06;0
52;3;"PIX";"1991-07-16";-186.16;0
53;10;"cartão de débito";"1928-03-10";214.35;0
54;11;"cartão de crédito";"1994-07-30";465.41;0
55;4;"cartão de crédito";"1989-07-21";-344.7;1
56;9;"PIX";"1982-12-28";-577.13;0
57;16;"cartão de crédito";"1930-04-29";281.25;0
58;3;"PIX";"1994-04-02";-497.94;0
59;14;"PIX";"1920-10-06";49.48;0
60;8;"cartão de crédito";"1960-11-30";-477.72;0
61;6;"PIX";"2005-10-21";-195.56;0
62;5;"PIX";"2006-05-26";-190.89;0
63;5;"PIX";"2005-07-17";-203.08;1
64;10;"PIX";"1930-08-13";-418.1;0
65;17;"cartão de crédito";"1987-01-28";-104.42;0
66;13;"PIX";"1987-05-16";-585.26;0
67;8;"PIX";"1964-03-06";522.35;0
68;2;"cartão de débito";"1985-10-19";-295.17;1
69;8;"PIX";"1963-04-13";-279.96;0
70;7;"PIX";"1965-11-07";-176.51;0
71;6;"PIX";"2009-08-08";-22.51;0
72;3;"PIX";"2001-01-18";-397.77;0
73;16;"PIX";"1926-06-02";-275.59;0
74;9;"PIX";"1991-11-06";-545.86;0
75;12;"cartão de crédito";"1926-06-09";-0.44;0
76;3;"PIX";"1996-04-14";-561.76;0
77;3;"PIX";"1997-08-31";566.62;0
78;2;"cartão de crédito";"1989-09-18";-132.95;0
79;7;"PIX";"1958-12-11";-331.27;0
80;14;"PIX";"1928-07-10";-34.58;0
81;8;"PIX";"1962-04-25";-621.76;0
82;16;"PIX";"1923-02-21";-310.98;0
83;2;"PIX";"1991-11-20";184.29;0
84;14;"PIX";"1926-09-14";-30.5;0
85;10;"PIX";"1920-11-30";-565.81;0
86;5;"cartão de crédito";"2003-04-03";300.87;0
87;17;"PIX";"1992-01-17";-71.48;0
88;15;"PIX";"1987-09-02";-73.25;0
89;11;"cartão de crédito";"1994-05-28";91.27;0
90;12;"TED";"1930-01-26";-11.93;0
91;9;"cartão de crédito";"1984-05-29";129.3;0
92;17;"cartão de crédito";"1990-04-11";-148.49;0
93;14;"cartão de crédito";"1925-08-26";-28.61;0
94;5;"cartão de crédito";"2008-11-15";-244.62;1
95;3;"cartão de crédito";"1994-10-31";-375.93;0
96;6;"PIX";"2010-09-09";51.02;0
97;17;"PIX";"1988-03-25";-24.4;0
98;12;"cartão de débito";"1920-08-10";-146.76;0
99;6;"PIX";"2001-08-20";-165.99;0
100;12;"cartão de crédito";"1926-04-14";5266.0;0
101;11;"PIX";"1991-10-17";603.05;0
102;1;"PIX";"1982-02-23";217.8;0
103;11;"PIX";"1988-05-22";-367.87;1
104;17;"cartão de crédito";"1994-11-09";-146.87;0
105;5;"PIX";"2002-12-09";-37.66;0
106;9;"cartão de crédito";"1989-04-21";516.12;0
107;15;"cartão de crédito";"1987-08-14";-40.77;0
108;5;"PIX";"2002-09-20";310.81;0
109;8;"cartão de crédito";"1966-01-04";-651.58;0
110;7;"PIX";"1965-04-03";-131.78;0
111;12;"PIX";"1928-09-14";380.76;0
112;9;"PIX";"1984-02-28";-163.93;0
113;11;"PIX";"1994-07-15";-501.09;1
114;17;"PIX";"1992-01-01";88.13;0
115;17;"cartão de crédito";"1993-01-08";-122.82;0
116;8;"PIX";"1963-07-21";-522.28;0
117;5;"PIX";"2006-11-13";-271.46;1
118;5;"PIX";"2004-04-23";-310.56;1
119;15;"cartão de crédito";"1986-11-25";-38.61;0
120;5;"cartão de crédito";"2007-09-09";-75.66;0
121;8;"PIX";"1963-11-24";-598.93;0
122;17;"cartão de débito";"1987-08-04";-82.9;0
123;14;"PIX";"1920-04-12";33.63;0
124;11;"PIX";"1990-10-14";-217.03;0
125;2;"PIX";"1988-06-14";-56.62;0
126;10;"PIX";"1924-09-16";-453.7;0
127;15;"PIX";"1992-01-22";-23.62;0
128;17;"cartão de crédito";"1995-01-09";-57.09;0
129;15;"cartão de crédito";"1985-04-03";84.86;0
130;3;"PIX";"1992-05-19";-322.45;0
131;14;"PIX";"1926-04-22";-44.34;0
132;7;"cartão de crédito";"1965-10-05";11213.0;0
133;2;"PIX";"1993-09-05";-155.02;0
134;16;"cartão de crédito";"1930-05-18";-343.01;0
135;10;"PIX";"1925-05-12";-246.03;0
136;8;"cartão de crédito";"1968-02-11";-367.21;0
137;11;"PIX";"1991-01-17";-464.72;1
138;5;"PIX";"2003-04-28";-89.26;0
139;3;"PIX";"1996-06-17";486.81;0
140;11;"cartão de crédito";"1994-04-13";-285.18;1
141;14;"PIX";"1927-03-20";-24.07;0
142;10;"TED";"1922-10-10";-613.7;0
143;4;"PIX";"1982-10-25";-110.83;0
144;6;"PIX";"2011-05-29";-121.61;0
145;9;"PIX";"1983-12-19";-493.63;0
146;17;"PIX";"1988-04-18";-114.99;0
147;6;"PIX";"2002-11-01";399.2;0
148;17;"cartão de crédito";"1993-08-01";-102.51;0
149;15;"PIX";"1991-04-20";54.06;0
150;7;"PIX";"1958-12-21";-359.93;0
151;14;"cartão de crédito";"1923-07-27";-43.45;0
152;9;"PIX";"1987-01-10";717.4;0
153;4;"PIX";"1983-02-25";431.41;0
154;14;"PIX";"1921-11-23";-10.78;0
155;7;"PIX";"1959-04-22";486.12;0
156;1;"PIX";"1982-01-21";-246.58;1
157;14;"cartão de crédito";"1925-03-09";-54.3;0
158;3;"PIX";"2000-04-06";237.44;0
159;12;"cartão de crédito";"1928-11-28";-564.4;0
160;12;"PIX";"1921-09-06";-325.2;0
161;15;"PIX";"1995-01-27";-103.93;0
162;8;"PIX";"1963-09-11";-193.06;0
163;9;"PIX";"1984-11-05";-178.77;0
164;5;"PIX";"2005-08-18";284.38;0
165;17;"cartão de crédito";"1986-08-22";-88.8;0
166;2;"PIX";"1990-05-28";-43.44;0
167;14;"PIX";"1925-01-12";-41.66;0
168;8;"PIX";"1967-06-04";-307.76;0
169;3;"cartão de crédito";"1992-06-19";-403.56;0
170;7;"cartão de crédito";"1960-05-20";39444.0;0
171;16;"cartão de crédito";"1921-06-19";-15.43;0
172;14;"PIX";"1929-08-19";-33.06;0
173;14;"PIX";"1926-10-02";-4.89;0
174;1;"PIX";"1982-09-15";-4.03;0
175;15;"cartão de crédito";"1994-07-24";-49.26;0
176;10;"PIX";"1923-03-19";-259.62;0
177;1;"cartão de crédito";"1989-05-21";-52.84;0
